funcionario,estado_civil,instrucao,nfilhos,salario,idade_anos,idade_meses,regiao
1,solteiro,ensino_fundamental,NA,4.00,26,3,interior
2,casado,ensino_fundamental,1,4.56,32,10,capital
3,casado,ensino_fundamental,2,5.25,36,5,capital
4,solteiro,ensino_medio,NA,5.73,20,10,outro
5,solteiro,ensino_fundamental,NA,6.26,40,7,outro
6,casado,ensino_fundamental,0,6.66,28,0,interior
7,solteiro,ensino_fundamental,NA,6.86,41,0,interior
8,solteiro,ensino_fundamental,NA,7.39,43,4,capital
9,casado,ensino_medio,1,7.59,34,10,capital
10,solteiro,ensino_medio,NA,7.44,23,6,outro
11,casado,ensino_medio,2,8.12,33,6,interior
12,solteiro,ensino_fundamental,NA,8.46,27,11,capital
13,solteiro,ensino_medio,NA,8.74,37,5,outro
14,casado,ensino_fundamental,3,8.95,44,2,outro
15,casado,ensino_medio,0,9.13,30,5,interior
16,solteiro,ensino_medio,NA,9.35,38,8,outro
17,casado,ensino_medio,1,9.77,31,7,capital
18,casado,ensino_fundamental,2,9.80,39,7,outro
19,solteiro,superior,NA,10.53,25,8,interior
20,solteiro,ensino_medio,NA,10.76,37,4,interior
21,casado,ensino_medio,1,11.06,30,9,outro
22,solteiro,ensino_medio,NA,11.59,34,2,capital
23,solteiro,ensino_fundamental,NA,12.00,41,0,outro
24,casado,superior,0,12.79,26,1,outro
25,casado,ensino_medio,2,13.23,32,5,interior
26,casado,ensino_medio,2,13.60,35,0,outro
27,solteiro,ensino_fundamental,NA,13.85,46,7,outro
28,casado,ensino_medio,0,14.69,29,8,interior
29,casado,ensino_medio,5,14.71,40,6,interior
30,casado,ensino_medio,2,15.99,35,10,capital
31,solteiro,superior,NA,16.22,31,5,outro
32,casado,ensino_medio,1,16.61,36,4,interior
33,casado,superior,3,17.26,43,7,capital
34,solteiro,superior,NA,18.75,33,7,capital
35,casado,ensino_medio,2,19.40,48,11,capital
36,casado,superior,3,23.30,42,2,interior
